FID,siteID,xcoord,ycoord,panel,Latitude,Longitude
107,Pt-1108,525818.712648999993689,4933610.693760000169277,OverSamp,44.555367580000002,44.555367580000002
108,Pt-1109,623289.260051000048406,4985302.225689999759197,OverSamp,45.010452790000002,45.010452790000002
109,Pt-1110,583190.623430000036024,4945540.163300000131130,OverSamp,44.658405369999997,44.658405369999997
110,Pt-1111,559179.438883000053465,4953058.462509999983013,OverSamp,44.728463339999998,44.728463339999998
111,Pt-1112,537493.993935000034980,4929960.622910000383854,OverSamp,44.521995369999999,44.521995369999999
112,Pt-1113,486706.188054000027478,4874473.962860000319779,OverSamp,44.023298769999997,44.023298769999997
113,Pt-1114,651198.839476999943145,4966191.760329999960959,OverSamp,44.833115769999999,44.833115769999999
114,Pt-1115,627490.084560999996029,4972107.362080000340939,OverSamp,44.890977239999998,44.890977239999998
115,Pt-1116,546592.762638999964111,4927884.427860000170767,OverSamp,44.502774639999998,44.502774639999998
116,Pt-1117,468856.319507999985944,4909513.522520000115037,OverSamp,44.338220069999998,44.338220069999998
117,Pt-1118,605769.820855999947526,4977593.631670000031590,OverSamp,44.943908540000002,44.943908540000002
118,Pt-1119,613455.145944999996573,4961888.026180000044405,OverSamp,44.801384149999997,44.801384149999997
119,Pt-1120,560590.973141000024043,4930411.625260000117123,OverSamp,44.524484889999997,44.524484889999997
120,Pt-1121,534156.402141000027768,4900148.239330000244081,OverSamp,44.253770879999998,44.253770879999998
121,Pt-1122,639759.595238000038080,4948358.855229999870062,OverSamp,44.674986629999999,44.674986629999999
122,Pt-1123,471423.058209999988321,4944444.745430000126362,OverSamp,44.652795660000002,44.652795660000002
123,Pt-1124,509546.160277999995742,4924279.611849999986589,OverSamp,44.471762249999998,44.471762249999998
124,Pt-1125,621483.423335999948904,5002933.164149999618530,OverSamp,45.169416599999998,45.169416599999998
125,Pt-1126,608372.003296999959275,4945321.578169999644160,OverSamp,44.653078850000000,44.653078850000000
126,Pt-1127,560626.625814000028186,4961578.384279999881983,OverSamp,44.805034290000002,44.805034290000002
127,Pt-1128,534903.415268999990076,4988044.313579999841750,OverSamp,45.044994899999999,45.044994899999999
128,Pt-1129,459838.477497000014409,4860663.784970000386238,OverSamp,43.897984090000001,43.897984090000001
129,Pt-1130,637246.022888000006787,4987423.905770000070333,OverSamp,45.026979879999999,45.026979879999999
130,Pt-1131,597987.339762000017799,4943928.552349999547005,OverSamp,44.642033259999998,44.642033259999998
131,Pt-1132,553656.571014999994077,4961715.652520000003278,OverSamp,44.806827540000000,44.806827540000000
132,Pt-1133,474552.097981999977492,4891563.224059999920428,OverSamp,44.176836219999998,44.176836219999998
133,Pt-1134,585237.383156000054441,4963582.114529999904335,OverSamp,44.820556330000002,44.820556330000002
134,Pt-1135,644082.007443999988027,4957680.942149999551475,OverSamp,44.758010360000000,44.758010360000000
135,Pt-1136,557546.021766999969259,4943082.957840000279248,OverSamp,44.638799919999997,44.638799919999997
136,Pt-1137,470580.011057999974582,4902125.724220000207424,OverSamp,44.271780800000002,44.271780800000002
137,Pt-1138,599227.280274000018835,4954515.190369999967515,OverSamp,44.737145599999998,44.737145599999998
138,Pt-1139,454188.096490000025369,4984150.155930000357330,OverSamp,45.009320440000003,45.009320440000003
139,Pt-1140,547618.721431000041775,4930843.085690000094473,OverSamp,44.529342120000003,44.529342120000003
140,Pt-1141,564702.982184999971651,4912202.673890000209212,OverSamp,44.360212529999998,44.360212529999998
141,Pt-1142,585276.451802999945357,4944411.018729999661446,OverSamp,44.647997340000003,44.647997340000003
142,Pt-1143,493509.497845000005327,4921283.897160000167787,OverSamp,44.444826419999998,44.444826419999998
143,Pt-1144,516265.899360999988858,4936983.139809999614954,OverSamp,44.586007199999997,44.586007199999997
144,Pt-1145,451684.180357999983244,4897325.389639999717474,OverSamp,44.227555850000002,44.227555850000002
145,Pt-1146,584812.580332000041381,4989405.654760000295937,OverSamp,45.053030159999999,45.053030159999999
